   766; RedIRIS
  3352; Telefonica Spain
  6739; Vodafone Ono
  8075; Microsoft
 12338; Euskaltel/Virgin Telco
 12430; Vodafone
 12479; Orange Spain
 15704; Masmovil/Yoigo
 42130; FibraValencia
 48146; FibraValencia
 57269; Digi Spain Telecom
202833; AvatelTelecom
